rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,neurons_layer_1,neurons_layer_2,weight_decay,mean_fit_time
1,2.752460161844889,0.08205572600676418,2.222883939743042,0.03120425131653453,sigmoid,128,1000,glorot_uniform,0.01,0.9,True,130,30,1e-05,14.006078322728476
2,2.756295998891195,0.06246307065813016,2.2552414735158286,0.06139288787040873,sigmoid,64,1000,glorot_uniform,0.01,0.8,True,130,30,1e-05,21.5860857963562
3,2.7693249384562173,0.07172792297536085,2.384263833363851,0.04357651264812248,sigmoid,64,1000,glorot_uniform,0.01,0.7,True,130,30,1e-05,20.82156761487325
4,2.7819199562072754,0.06660798061218294,2.4585097630818686,0.04253278161325372,sigmoid,128,1000,glorot_uniform,0.01,0.8,True,130,30,1e-05,14.136748949686686
5,2.7904036045074463,0.08002080893281052,2.548098643620809,0.0253828728787347,sigmoid,128,1000,glorot_uniform,0.01,0.7,True,70,30,1e-05,12.345480839411417
6,2.794732411702474,0.07064928903394069,2.344431241353353,0.04639779285600678,sigmoid,64,1000,glorot_uniform,0.01,0.7,True,70,30,1e-05,20.963147401809692
7,2.7961361408233643,0.06534899450678641,2.527285893758138,0.06790027645568289,sigmoid,32,1000,glorot_uniform,0.001,0.9,True,70,30,1e-05,32.33076826731364
8,2.7999738852183023,0.04712892848155446,2.0943403244018555,0.03013764147452855,sigmoid,32,1000,glorot_uniform,0.01,0.7,True,130,30,1e-05,32.97183529535929
9,2.8052055835723877,0.11035729802791286,2.2455029487609863,0.05432604135500344,tanh,128,1000,glorot_uniform,0.001,0.9,True,130,30,0.0001,12.282085100809732
10,2.8053314685821533,0.07174449422452604,2.55381441116333,0.037642457038045765,sigmoid,32,1000,glorot_uniform,0.001,0.9,True,130,30,1e-05,32.55595850944519
11,2.806310017903646,0.0751496132331291,2.222079038619995,0.07077143510533662,tanh,128,1000,glorot_uniform,0.001,0.9,True,130,30,1e-05,13.088833570480347
12,2.807685613632202,0.06984654270086718,2.3938719431559243,0.027542403769708807,sigmoid,64,1000,glorot_uniform,0.01,0.7,True,70,30,0.0001,19.43224596977234
13,2.81109356880188,0.08185179847887818,2.5072765350341797,0.03918628019843023,sigmoid,128,1000,glorot_uniform,0.01,0.8,True,130,30,0.0001,13.427115599314371
14,2.8114113807678223,0.059329345157785596,2.4189720153808594,0.021525977988968378,sigmoid,128,1000,glorot_uniform,0.01,0.8,True,70,30,1e-05,12.95887311299642
15,2.8122074604034424,0.037571905988949376,2.406810998916626,0.05957366712392632,tanh,64,1000,glorot_uniform,0.001,0.7,True,70,30,1e-05,17.78817367553711
16,2.814099152882894,0.09976359069061945,2.142793575922648,0.047474113844385754,sigmoid,128,1000,glorot_uniform,0.01,0.9,True,70,30,1e-05,12.067961692810059
17,2.8157811959584556,0.08401136762275498,2.2666935125986734,0.040311378444739615,sigmoid,128,1000,glorot_uniform,0.01,0.9,True,130,30,0.0001,14.232970237731934
18,2.8200021584828696,0.08364773137345749,2.2816261450449624,0.03883968577287837,tanh,64,1000,glorot_uniform,0.001,0.8,True,130,30,0.0001,18.75864831606547
19,2.8227040767669678,0.07954607097658364,2.443699836730957,0.016289155233871706,sigmoid,64,1000,glorot_uniform,0.01,0.7,True,130,30,0.0001,21.780302206675213
20,2.824307839075724,0.08444613851668634,2.5587799549102783,0.048729749817000845,sigmoid,32,1000,glorot_uniform,0.001,0.9,True,70,30,0.0001,31.60889395078023
21,2.824603319168091,0.06127585260292618,2.583378473917643,0.05316801547234547,sigmoid,128,1000,glorot_uniform,0.01,0.7,True,70,30,0.0001,12.167630195617676
22,2.8312811056772866,0.10221292109820344,1.9194246530532837,0.058659987371710416,sigmoid,64,1000,glorot_uniform,0.01,0.9,True,130,30,1e-05,22.31954010327657
23,2.8320704301198325,0.05439459319690993,2.601841767628988,0.05221350295562082,sigmoid,128,1000,glorot_uniform,0.01,0.7,True,130,30,1e-05,13.578588167826334
24,2.8350940545399985,0.08317938128544668,2.2778571446736655,0.039178178033045664,tanh,64,1000,glorot_uniform,0.001,0.8,True,70,30,0.0003,17.692623138427734
25,2.8360060850779214,0.0759449367043872,2.1990369160970054,0.03073351565920798,tanh,64,1000,glorot_uniform,0.001,0.8,True,70,30,0.0001,18.428495168685913
26,2.836025873819987,0.07459875327064278,2.157391309738159,0.03608887471652294,sigmoid,64,1000,glorot_uniform,0.01,0.8,True,70,30,1e-05,19.809895118077595
27,2.836174408594767,0.12444402862246916,2.090017318725586,0.036186850593132217,tanh,32,1000,glorot_uniform,0.001,0.7,True,70,30,1e-05,32.96306331952413
28,2.836570421854655,0.0534056317614259,2.408772865931193,0.06835603524287694,tanh,64,1000,glorot_uniform,0.001,0.7,True,70,30,0.0001,18.05883510907491
29,2.8385299841562905,0.10321770838819415,2.24222199122111,0.051124060497084775,tanh,128,1000,glorot_uniform,0.001,0.9,True,70,30,0.0003,11.318787097930908
30,2.838849941889445,0.08118709498809966,2.307310183842977,0.048964612941175635,tanh,64,1000,glorot_uniform,0.001,0.8,True,130,30,0.0003,18.515546719233196
31,2.8418637911478677,0.04433420820363593,2.309610287348429,0.03287584173534217,sigmoid,64,1000,glorot_uniform,0.01,0.8,True,130,30,0.0001,21.70488739013672
32,2.842666228612264,0.07564777277460523,2.504495938618978,0.06597442180817016,tanh,128,1000,glorot_uniform,0.001,0.8,True,70,30,1e-05,11.437041759490967
33,2.84493088722229,0.08451579980746447,2.175539016723633,0.05087777814403672,tanh,128,1000,glorot_uniform,0.001,0.9,True,70,30,1e-05,11.606878519058228
34,2.8479732672373452,0.11587505137645027,2.454489231109619,0.02180287675850773,sigmoid,128,1000,glorot_uniform,0.01,0.8,True,70,30,0.0001,13.42144775390625
35,2.84865132967631,0.08242375976014164,2.2620986302693686,0.06260651264129226,tanh,64,1000,glorot_uniform,0.001,0.8,True,130,30,1e-05,19.136170943578083
36,2.849284569422404,0.06522370372433982,2.5909740130106607,0.050414320073464094,sigmoid,32,1000,glorot_uniform,0.001,0.9,True,130,30,0.0001,33.48654898007711
37,2.849475065867106,0.07650790744531807,2.2493712107340493,0.013235726920485696,tanh,64,1000,glorot_uniform,0.001,0.8,True,70,30,1e-05,18.346415122350056
38,2.849517583847046,0.10376284976672391,2.445723533630371,0.02437106855431778,tanh,64,1000,glorot_uniform,0.001,0.7,True,130,30,0.0001,18.217304468154907
39,2.8502862453460693,0.08764201363849666,2.155963579813639,0.035261056186836406,tanh,32,1000,glorot_uniform,0.001,0.7,True,70,30,0.0003,34.25171717007955
40,2.851029396057129,0.10052883542487485,2.49414324760437,0.02328497581272845,tanh,128,1000,glorot_uniform,0.001,0.8,True,130,30,1e-05,12.177549759546915
41,2.853030522664388,0.08689001581946833,2.5260558128356934,0.0699095743432479,tanh,128,1000,glorot_uniform,0.001,0.8,True,70,30,0.0001,11.464482625325521
42,2.857490619023641,0.110848430836717,2.125869115193685,0.05404762167666133,tanh,32,1000,glorot_uniform,0.001,0.7,True,130,30,1e-05,34.50795300801595
43,2.859065055847168,0.09110755376423202,2.402042547861735,0.018605720793820644,tanh,64,1000,glorot_uniform,0.001,0.7,True,130,30,1e-05,18.098785797754925
44,2.859926382700602,0.08316741683938446,1.9573578834533691,0.036686574311524396,tanh,64,1000,glorot_uniform,0.001,0.9,True,130,30,0.0001,18.760652621587116
45,2.8612523873647056,0.10140954133624754,2.444844881693522,0.04280386393270413,tanh,64,1000,glorot_uniform,0.001,0.7,True,70,30,0.0003,17.96021231015523
46,2.861934185028076,0.09335439242894335,2.295600732167562,0.032320147069729306,tanh,128,1000,glorot_uniform,0.001,0.9,True,130,30,0.0003,12.968041976292929
47,2.8622525533040366,0.08522833920771021,1.8821735382080078,0.08880178091880872,sigmoid,32,1000,glorot_uniform,0.01,0.8,True,130,30,1e-05,33.03480529785156
48,2.862464745839437,0.0936823873463522,2.2053658962249756,0.031766951290457195,sigmoid,128,1000,glorot_uniform,0.01,0.9,True,70,30,0.0001,13.609691301981607
49,2.862675746281942,0.06777492847218919,2.6263917287190757,0.047888091622963175,sigmoid,128,1000,glorot_uniform,0.01,0.7,True,130,30,0.0001,12.981713136037191
50,2.8645448684692383,0.10364180343207578,2.142547369003296,0.040813477882057206,tanh,32,1000,glorot_uniform,0.001,0.7,True,130,30,0.0001,36.053910891215004
51,2.864723046620687,0.14078879545552178,1.961319367090861,0.036588668829240736,tanh,32,1000,glorot_uniform,0.001,0.8,True,130,30,1e-05,33.62486402193705
52,2.8656766414642334,0.07494392696852843,2.0796006520589194,0.06021194072536503,sigmoid,32,1000,glorot_uniform,0.01,0.7,True,70,30,1e-05,32.14200448989868
53,2.8737289110819497,0.030949613645828843,2.2223400274912515,0.00685609897037801,sigmoid,32,1000,glorot_uniform,0.01,0.7,True,130,30,0.0001,33.522071520487465
54,2.875943422317505,0.07060680420199834,2.4674481550852456,0.04227601907301894,tanh,64,1000,glorot_uniform,0.001,0.7,True,130,30,0.0003,19.054353793462116
55,2.8774596055348716,0.06964914094059907,2.184138536453247,0.02468096509059916,tanh,128,1000,glorot_uniform,0.001,0.9,True,70,30,0.0001,11.719700654347738
56,2.878077745437622,0.07080263145012829,2.008158008257548,0.07619658987530392,sigmoid,64,1000,glorot_uniform,0.01,0.9,True,130,30,0.0001,21.7208088239034
57,2.880009492238363,0.05862591155203529,2.6354512373606362,0.055963230107654416,sigmoid,32,1000,glorot_uniform,0.001,0.9,True,70,30,0.0003,32.481359322865806
58,2.8803093433380127,0.07410849318583508,2.5046726067860923,0.02168262386205792,sigmoid,64,1000,glorot_uniform,0.01,0.7,True,70,30,0.0003,20.67463731765747
59,2.881263494491577,0.10101494389568924,2.2173834641774497,0.043819597351438956,sigmoid,64,1000,glorot_uniform,0.01,0.8,True,70,30,0.0001,20.888604482014973
60,2.8824856281280518,0.0800802142816016,2.5622177918752036,0.035071713269757845,sigmoid,128,1000,glorot_uniform,0.01,0.8,True,70,30,0.0003,12.871416171391806
61,2.886605739593506,0.14053412221393413,1.8907409111658733,0.045710166331605476,tanh,64,1000,glorot_uniform,0.001,0.9,True,70,30,0.0001,17.97446854909261
62,2.8868110179901123,0.053853692075098415,2.526938041051229,0.03592222237200319,tanh,128,1000,glorot_uniform,0.001,0.8,True,70,30,0.0003,11.113379001617432
63,2.8883841037750244,0.08783448542630681,2.1924328009287515,0.050826864882636054,tanh,32,1000,glorot_uniform,0.001,0.7,True,130,30,0.0003,36.04508717854818
64,2.8919147650400796,0.05863126901100664,2.663902521133423,0.04210302343542687,sigmoid,128,1000,glorot_uniform,0.01,0.7,True,70,30,0.0003,13.031409819920858
65,2.8938492933909097,0.0809812859674526,1.989487648010254,0.02541166759218159,tanh,32,1000,glorot_uniform,0.001,0.8,True,130,30,0.0001,33.97478564580282
66,2.894383748372396,0.06997766437285419,2.544901450475057,0.06096876827211197,tanh,128,1000,glorot_uniform,0.001,0.8,True,130,30,0.0001,12.283657948176065
67,2.895047903060913,0.07079136449196285,2.594038407007853,0.04723741664447328,sigmoid,128,1000,glorot_uniform,0.01,0.8,True,130,30,0.0003,13.796376943588257
68,2.8977193037668862,0.06751954816128579,2.665557305018107,0.03291828998759343,sigmoid,32,1000,glorot_uniform,0.001,0.9,True,130,30,0.0003,33.02870003382365
69,2.8999106884002686,0.09599215197015872,2.009320855140686,0.05348874236170673,tanh,64,1000,glorot_uniform,0.001,0.9,True,130,30,0.0003,18.233267386754353
70,2.9003280798594155,0.08513998715735654,2.3378493785858154,0.04812110856440378,tanh,128,1000,glorot_uniform,0.001,0.9,True,70,30,0.001,12.1803560256958
71,2.9011197884877524,0.083057925812326,2.4128063519795737,0.031984717465635026,sigmoid,128,1000,glorot_uniform,0.01,0.9,True,130,30,0.0003,14.359782218933105
72,2.90293288230896,0.08185590540584252,2.124277432759603,0.039441170401986025,tanh,32,1000,glorot_uniform,0.001,0.7,True,70,30,0.0001,32.94195747375488
73,2.9037888844807944,0.07869848619347532,2.5418471495310464,0.024795630562059513,sigmoid,64,1000,glorot_uniform,0.01,0.7,True,130,30,0.0003,20.690982659657795
74,2.911339362462362,0.0472219990565231,2.7595410346984863,0.03139704915415278,sigmoid,64,1000,glorot_uniform,0.001,0.9,True,130,30,1e-05,22.141543865203857
75,2.9114278157552085,0.04121057294609389,2.7470129330952964,0.03191951458399081,sigmoid,64,1000,glorot_uniform,0.001,0.9,True,70,30,1e-05,21.47547523180644
76,2.9120187759399414,0.12738463783509052,1.9579979181289673,0.04044594151835688,tanh,64,1000,glorot_uniform,0.001,0.9,True,130,30,1e-05,18.991285006205242
77,2.915233294169108,0.08793750951487726,2.567368984222412,0.046212472156933734,tanh,128,1000,glorot_uniform,0.001,0.8,True,130,30,0.0003,12.594143946965536
78,2.9161643187204995,0.0902962334674827,2.233266035715739,0.05120104418109381,sigmoid,32,1000,glorot_uniform,0.01,0.7,True,70,30,0.0001,31.887728452682495
79,2.916942834854126,0.09193681137146632,1.9205240805943806,0.04396723960231213,tanh,32,1000,glorot_uniform,0.001,0.8,True,70,30,0.0001,31.65739305814107
80,2.9174182415008545,0.07877228386755868,2.447919766108195,0.039683885704009686,sigmoid,64,1000,glorot_uniform,0.01,0.8,True,130,30,0.0003,21.665948788324993
81,2.9176876544952393,0.04553358102536449,2.3834076722462973,0.03785432427724376,sigmoid,64,1000,glorot_uniform,0.01,0.8,True,70,30,0.0003,21.28029179573059
82,2.9190666675567627,0.06191720605668987,2.705113093058268,0.04276670744366534,sigmoid,128,1000,glorot_uniform,0.01,0.7,True,130,30,0.0003,13.238479057947794
83,2.9196065266927085,0.07600455862283119,2.396860917409261,0.024721414248906826,sigmoid,32,1000,glorot_uniform,0.01,0.7,True,130,30,0.0003,33.03482588132223
84,2.920662800470988,0.04553670458414789,2.7498836517333984,0.027024383053098094,sigmoid,32,1000,glorot_uniform,0.001,0.8,True,70,30,1e-05,32.00677808125814
85,2.924408276875814,0.11554165378923145,1.9187616109848022,0.02821009889907123,tanh,32,1000,glorot_uniform,0.001,0.8,True,70,30,1e-05,32.46244748433431
86,2.9244922002156577,0.06288426386613674,2.7684638500213623,0.03207928231366838,sigmoid,32,1000,glorot_uniform,0.001,0.8,True,130,30,1e-05,32.941400130589805
87,2.925690174102783,0.07858542586823947,2.346975088119507,0.012238194792826314,tanh,64,1000,glorot_uniform,0.001,0.8,True,70,30,0.001,17.56336236000061
88,2.930734634399414,0.09585926925192594,2.0774172941843667,0.02400156223048769,sigmoid,32,1000,glorot_uniform,0.01,0.8,True,130,30,0.0001,33.15025822321574
89,2.9327000776926675,0.07982360946998406,2.274721384048462,0.020592192556197597,tanh,32,1000,glorot_uniform,0.001,0.7,True,70,30,0.001,34.913786013921104
90,2.932839790980021,0.08240416082790471,2.517966111501058,0.03694005290218406,tanh,64,1000,glorot_uniform,0.001,0.7,True,70,30,0.001,18.301074107487995
91,2.93772029876709,0.10149225488572754,1.888683279355367,0.04290775999414015,tanh,64,1000,glorot_uniform,0.001,0.9,True,70,30,1e-05,18.179632425308228
92,2.9386146863301597,0.0530355603823698,2.7742534478505454,0.024504077788943673,sigmoid,64,1000,glorot_uniform,0.001,0.9,True,70,30,0.0001,20.56279118855794
93,2.9401280085245767,0.057369365812208695,2.7704986731211343,0.02190374561011015,sigmoid,32,1000,glorot_uniform,0.001,0.8,True,70,30,0.0001,31.788180748621624
94,2.9481986363728843,0.047464234742180866,2.7886033058166504,0.03292000423443856,sigmoid,32,1000,glorot_uniform,0.001,0.8,True,130,30,0.0001,33.40894214312235
95,2.950148900349935,0.12950812754169716,1.7303970257441204,0.0658381848360928,sigmoid,64,1000,glorot_uniform,0.01,0.9,True,70,30,1e-05,20.18402663866679
96,2.950545152028402,0.10969534120678602,2.6326565742492676,0.0057323023778703824,tanh,32,1000,glorot_uniform,0.0001,0.9,True,70,30,1e-05,35.18173805872599
97,2.9508721033732095,0.05048700734218369,2.780087471008301,0.03320272876610398,sigmoid,64,1000,glorot_uniform,0.001,0.9,True,130,30,0.0001,22.40752871831258
98,2.9519298871358237,0.05625966814813734,2.4149648348490396,0.04345323255942654,tanh,64,1000,glorot_uniform,0.001,0.8,True,130,30,0.001,18.595652500788372
99,2.956723690032959,0.10215032558829451,2.3509358565012612,0.014461569192937123,sigmoid,128,1000,glorot_uniform,0.01,0.9,True,70,30,0.0003,13.035685300827026
100,2.9570837020874023,0.05138026987188258,2.686789353688558,0.04395646637374456,tanh,128,1000,glorot_uniform,0.001,0.7,True,70,30,0.0001,11.134185393651327
101,2.958811601003011,0.09898758792847707,2.365120013554891,0.040545029405115555,tanh,128,1000,glorot_uniform,0.001,0.9,True,130,30,0.001,11.63400705655416
102,2.960461457570394,0.09763879611185115,2.0279868443806968,0.02981920419806924,tanh,32,1000,glorot_uniform,0.001,0.8,True,130,30,0.0003,34.7271081606547
103,2.9649171829223633,0.09386285720435993,2.3346404234568277,0.048171780134237424,tanh,32,1000,glorot_uniform,0.001,0.7,True,130,30,0.001,34.688167095184326
104,2.9683263301849365,0.03424892271557693,2.6758833726247153,0.06901781841871295,tanh,32,1000,glorot_uniform,0.0001,0.9,True,70,30,0.0001,34.364649295806885
105,2.970059871673584,0.08346089645496109,2.5474390188852944,0.036126995638259704,tanh,64,1000,glorot_uniform,0.001,0.7,True,130,30,0.001,18.914668718973797
106,2.9719455242156982,0.1155387328768977,1.9562654097874959,0.042392312492360265,tanh,32,1000,glorot_uniform,0.001,0.8,True,70,30,0.0003,33.0594699382782
107,2.9721274375915527,0.048336109704275945,2.825122356414795,0.021010443801079196,sigmoid,64,1000,glorot_uniform,0.001,0.9,True,70,30,0.0003,21.82684548695882
108,2.973593791325887,0.09364952485357732,2.7340003649393716,0.050309672417345776,tanh,128,1000,glorot_uniform,0.001,0.7,True,70,30,1e-05,11.275204499562582
109,2.9738006591796875,0.10380740574646131,1.915717323621114,0.06386737170287432,tanh,64,1000,glorot_uniform,0.001,0.9,True,70,30,0.0003,17.857667525609333
110,2.981551011403402,0.0728311061994085,2.1491470336914062,0.024956341649324178,tanh,64,1000,glorot_uniform,0.001,0.9,True,130,30,0.001,18.290196975072224
111,2.9818023840586343,0.04484007669335024,2.6911818186442056,0.06136197046235242,tanh,32,1000,glorot_uniform,0.0001,0.9,True,70,30,0.0003,32.7593199412028
112,2.9849446614583335,0.10604083762928555,2.316526730855306,0.07976255927144918,sigmoid,32,1000,glorot_uniform,0.01,0.7,True,70,30,0.0003,32.297628243764244
113,2.9854582150777182,0.16525922775824664,2.065469821294149,0.020484549416347718,tanh,64,1000,glorot_uniform,0.001,0.9,True,70,30,0.001,17.904307047526043
114,2.986790657043457,0.0699348834361657,2.6231810251871743,0.017521453988612334,tanh,128,1000,glorot_uniform,0.001,0.8,True,70,30,0.001,11.10770559310913
115,2.9876922766367593,0.03954894285380245,2.835082451502482,0.031851302856561195,sigmoid,32,1000,glorot_uniform,0.001,0.8,True,70,30,0.0003,32.54605841636658
116,2.99487034479777,0.04707009672522536,2.8394779364267984,0.02659531492319921,sigmoid,32,1000,glorot_uniform,0.001,0.8,True,130,30,0.0003,32.36996523539225
117,2.9992862542470298,0.09286464513497115,2.7169411182403564,0.054398730854650384,tanh,32,1000,glorot_uniform,0.0001,0.9,True,130,30,0.0001,36.384783347447716
118,3.0008047421773276,0.12081200902565778,2.7511330445607505,0.03439003835522182,tanh,128,1000,glorot_uniform,0.001,0.7,True,130,30,1e-05,11.729805787404379
119,3.0043728351593018,0.10092526135945125,1.7759430408477783,0.08801245928477405,sigmoid,32,1000,glorot_uniform,0.01,0.8,True,70,30,1e-05,33.460981369018555
120,3.0078277587890625,0.06441666606017188,2.2540435791015625,0.027822381578408117,sigmoid,64,1000,glorot_uniform,0.01,0.9,True,130,30,0.0003,21.81785527865092
121,3.0107343991597495,0.10810559774528107,2.697971820831299,0.018072126773542276,tanh,32,1000,glorot_uniform,0.0001,0.9,True,130,30,0.0003,34.13657808303833
122,3.011943737665812,0.11215532212778773,2.6937307516733804,0.025927951057263202,tanh,32,1000,glorot_uniform,0.0001,0.9,True,130,30,1e-05,35.107913414637245
123,3.0120112101236978,0.04297874469030779,2.643584966659546,0.06853644382307615,tanh,128,1000,glorot_uniform,0.001,0.8,True,130,30,0.001,11.873313744862875
124,3.014922857284546,0.04455853635032551,2.854668219884237,0.03844436386354465,sigmoid,64,1000,glorot_uniform,0.001,0.9,True,130,30,0.0003,21.38579265276591
125,3.0186499754587808,0.0652140741991492,2.2673802375793457,0.04733892387356651,sigmoid,32,1000,glorot_uniform,0.01,0.8,True,130,30,0.0003,33.101396004358925
126,3.0217763582865396,0.041711572033930736,2.894502798716227,0.03071143800158006,sigmoid,32,1000,glorot_uniform,0.001,0.7,True,70,30,1e-05,32.20205235481262
127,3.0233634312947593,0.07469907898063642,1.7169272899627686,0.09120248709593433,tanh,128,1000,glorot_uniform,0.01,0.7,True,130,30,1e-05,11.922517617543539
128,3.0337092876434326,0.09938722335193985,2.778227170308431,0.032938709011926026,tanh,128,1000,glorot_uniform,0.001,0.7,True,130,30,0.0003,12.42838486035665
129,3.0396597385406494,0.055479657067296156,2.7716962496439614,0.04853135872583816,tanh,128,1000,glorot_uniform,0.001,0.7,True,130,30,0.0001,11.837258259455362
130,3.041201194127401,0.11721545400664408,1.9466160933176677,0.042055153250540676,sigmoid,32,1000,glorot_uniform,0.01,0.8,True,70,30,0.0001,31.677027225494385
131,3.0429207483927407,0.1101582648920755,2.0815154711405435,0.03984458974982824,tanh,32,1000,glorot_uniform,0.001,0.8,True,70,30,0.001,34.32515048980713
132,3.0448506673177085,0.10725151574931631,2.1338539918263755,0.022022923594576346,tanh,32,1000,glorot_uniform,0.001,0.8,True,130,30,0.001,35.05558721224467
133,3.0464816888173423,0.08700448412390498,1.8923019170761108,0.06527437612653501,sigmoid,64,1000,glorot_uniform,0.01,0.9,True,70,30,0.0001,19.902170260747273
134,3.051312526067098,0.07315688777665436,2.784384330113729,0.0745104772373254,tanh,128,1000,glorot_uniform,0.001,0.7,True,70,30,0.0003,11.4016592502594
135,3.0515664418538413,0.073858263397872,2.711861530939738,0.030291701928309794,sigmoid,64,1000,glorot_uniform,0.01,0.7,True,70,30,0.001,19.211357355117798
136,3.0521262486775718,0.04143678598805183,2.7751030127207437,0.059274995534390695,tanh,32,1000,glorot_uniform,0.0001,0.9,True,70,30,0.001,33.234766165415444
137,3.053560495376587,0.0664845188827202,2.856186548868815,0.04240282118423345,sigmoid,128,1000,glorot_uniform,0.01,0.7,True,70,30,0.001,13.523845116297403
138,3.053999423980713,0.11791124365597459,1.655946175257365,0.034876869603654846,tanh,128,1000,glorot_uniform,0.01,0.7,True,70,30,0.0001,11.109703461329142
139,3.0542185306549072,0.06692142865544096,2.9202638467152915,0.03834807836700819,sigmoid,32,1000,glorot_uniform,0.001,0.7,True,130,30,1e-05,33.48076621691386
140,3.055018981297811,0.1201541423862,1.6953707536061604,0.030943813420941216,tanh,128,1000,glorot_uniform,0.01,0.7,True,130,30,0.0001,11.81294051806132
141,3.0552238623301187,0.06639338941274855,2.920548756917318,0.03501345590417979,sigmoid,32,1000,glorot_uniform,0.001,0.7,True,70,30,0.0001,32.23633289337158
142,3.0561369260152182,0.047428709398133,1.876037875811259,0.04010291388265163,tanh,128,1000,glorot_uniform,0.01,0.7,True,130,30,0.0003,12.052083015441895
